year declared physics,term declared physics,number of semesters,first phys class,year first phys class,term first phys class,first math class,year first math class,term first math class,taken mechanics,mechanics year,mechanics term,taken quantum,quantum year,quantum term,taken adv lab,adv lab first year,adv lab first term,adv lab second year,adv second term,pd 1,pd 2,pd 3,grad physics,grad year,term grad
2017,fall,3,adv lab 1,2017,fall,none,,,no,,,no,,,yes,2017,fall,,,N/A,N/A,N/A,no,,
2020,fall,6,applied lab 1,2020,fall,calc 1,2020,fall,no,,,no,,,no,,,,,no,no,no,no,,
2020,fall,4,applied lab 1,2020,fall,calc 1,2020,fall,no,,,no,,,no,,,,,no,no,no,no,,
2022,summer,4,applied lab 1,2022,fall,college algebra,2022,fall,no,,,no,,,no,,,,,yes,no,no,no,,
2020,fall,4,applied lab 1,2020,fall,college trig,2021,spring,no,,,no,,,no,,,,,no,no,no,no,,
2021,fall,5,applied lab 1,2021,fall,pre calc,2022,summer,no,,,no,,,no,,,,,yes,n,n,no,,
2012,fall,3,biophysics of the body,2012,fall,calc 2,2012,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,5,biophysics outlook 1,2017,fall,calc 2,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,fall,7,biophysics outlook 2,2015,spring,pre calc,2014,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,spring,2,biophysics outlook 2,2015,spring,differential equations,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,fall,1,college phys 1,2012,summer,college trig,2009,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2014,spring
2013,spring,2,college phys 1,2013,spring,pre calc,2012,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2016,spring
2014,summer,5,college phys 1,2011,spring,applied statistics,2013,summer,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2018,spring
2010,spring,13,college phys 1,2007,fall,calc 2,2010,spring,no,,,yes,2013,spring,yes,2012,spring,2012,fall,N/A,N/A,N/A,no,,
2016,spring,5,college phys 1,2017,spring,college algebra,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,4,college phys 1,2016,fall,pre calc,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2013,fall,3,college phys 1,2014,fall,college algebra,2014,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2019,fall,1,college phys 1,2015,spring,pre calc,2014,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,1,college phys 2,2016,fall,math for liberal arts,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,6,college phys 2,2017,summer,calc 2,2020,summer,no,,,no,,,yes,2018,fall,,,N/A,N/A,N/A,no,,
2013,fall,6,foundations of physics,2012,fall,college trig,2013,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2019,spring
2014,fall,13,foundations of physics,2016,fall,college algebra,2014,fall,yes,2020,fall,no,,,no,,,,,no,no,no,no,,
2016,summer,6,foundations of physics,2016,fall,pre calc,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2018,fall,4,foundations of physics,2019,spring,pre calc,2018,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2021,fall,3,foundations of physics,2021,fall,calc 1,2021,fall,no,,,no,,,no,,,,,no,no,no,no,,
2014,fall,3,foundations of physics,2012,fall,none,,,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2021,fall,1,foundations of physics,2021,fall,none,,,no,,,no,,,no,,,,,no,no,no,no,,
2014,fall,1,gen astro 1,2015,spring,pre calc,2015,spring,no,,,no,,,no,,,,,no,no,no,no,2018,fall
2014,fall,5,gen astro 1,2014,fall,pre calc,2015,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2019,fall
2015,fall,3,gen astro 1,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2020,spring
2015,fall,5,gen astro 1,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2021,spring
2015,fall,4,gen astro 1,2014,fall,college algebra,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,fall,5,gen astro 1,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2018,fall,2,gen astro 1,2018,fall,college algebra,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2022,fall,1,gen astro 1,2021,fall,math for liberal arts,2021,fall,no,,,no,,,no,,,,,yes,no,no,no,,
2013,fall,6,gen astro 1,2013,fall,math for liberal arts,2012,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,spring,5,gen astro 1,2015,spring,intro stats,2016,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,spring,2,gen astro 1,2016,spring,math for liberal arts,2016,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,spring,6,gen astro 2,2015,spring,college trig,2014,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2018,fall
2015,fall,3,gen astro 2,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2020,spring
2014,fall,5,gen astro 2,2015,spring,pre calc,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,summer,3,gen phys 1,2013,fall,calc 3,2014,summer,no,,,yes,2015,spring,yes,,,2015,spring,N/A,N/A,N/A,no,2018,fall
2014,fall,6,gen phys 1,2016,summer,college algebra,2015,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2019,spring
2016,fall,4,gen phys 1,2017,spring,calc 2,2017,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2019,spring
2017,fall,3,gen phys 1,2018,spring,pre calc,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2021,fall
2018,summer,6,gen phys 1,2018,fall,calc 2,2018,summer,no,,,no,,,no,,,,,no,no,no,no,2021,fall
2017,fall,1,gen phys 1,2017,fall,calc 3,2017,fall,no,,,no,,,no,,,,,no,no,no,no,2021,spring
2017,fall,6,gen phys 1,2018,fall,pre calc,2017,fall,no,,,no,,,no,,,,,no,no,no,no,2022,spring
2017,fall,6,gen phys 1,2014,fall,calc 2,2014,fall,yes,2017,fall,yes,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,no,,
2018,spring,10,gen phys 1,2018,spring,calc 3,2018,spring,yes,2019,fall,yes,2021,spring,yes,2019,fall,2020,spring,no,no,yes,no,,
2017,fall,9,gen phys 1,2018,spring,calc 1,2017,fall,no,,,no,,,yes,2020,fall,2021,spring,no,no,no,no,,
2009,spring,17,gen phys 1,2009,fall,calc 1,2009,spring,yes,2015,fall,yes ,2016,spring,yes,2016,spring,2016,fall,N/A,N/A,N/A,no,,
2011,spring,9,gen phys 1,2011,summer,pre calc,2008,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2011,spring,4,gen phys 1,2010,fall,calc 1,2010,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2011,fall,5,gen phys 1,2011,fall,calc 2,2011,fall,no,,,no,,,no,,,,,no,no,no,no,,
2014,fall,2,gen phys 1,2014,fall,calc 1,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,spring,1,gen phys 1,2014,fall,calc 1,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,fall,6,gen phys 1,2015,spring,calc 1,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,spring,1,gen phys 1,2015,spring,calc 2,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,2,gen phys 1,2015,fall,pre calc,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,summer,3,gen phys 1,2016,fall,calc 2,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,3,gen phys 1,2016,fall,calc 3,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,2,gen phys 1,2016,spring,calc 3,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,2,gen phys 1,2017,spring,calc 3,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,8,gen phys 1,2019,fall,college trig,2017,fall,no,,,no,,,no,,,,,no,no,no,no,,
2020,fall,3,gen phys 1,2019,fall,pre calc,2017,fall,no,,,no,,,no,,,,,no,no,no,no,,
2019,fall,5,gen phys 1,2019,fall,calc 1,2019,fall,no,,,no,,,no,,,,,no,no,no,no,,
2019,fall,1,gen phys 1,2019,fall,calc 2,2019,fall,no,,,no,,,no,,,,,no,no,no,no,,
2020,fall,6,gen phys 1,2021,spring,calc 1,2020,fall,no,,,no,,,no,,,,,yes,no,no,no,,
2021,fall,1,gen phys 1,2021,fall,calc 2,2021,fall,no,,,no,,,no,,,,,no,no,no,no,,
2017,spring,3,gen phys 1,2017,fall,calc 3,2021,fall,no,,,no,,,no,,,,,no,no,no,no,,
2011,fall,8,gen phys 1,2013,spring,calc 1,2012,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,fall,4,gen phys 1,2014,fall,intro to abstract math,2015,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,spring,3,gen phys 1,2015,fall,pre calc,2015,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,fall,4,gen phys 1,2017,spring,calc 1,2016,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,spring,11,gen phys 1,2019,spring,calc 2,2016,spring,no,,,no,,,no,,,,,no,no,no,no,,
20147,spring,3,gen phys 1,2017,fall,calc 1,2017,spring,no ,,,no,,,no ,,,,,no,no,no,no,,
2016,fall,3,gen phys 1,2017,spring,calc 2,2017,spring,no,,,no,,,no,,,,,n,n,n,no,,
2016,fall,3,gen phys 1,2016,fall,calc 3,2017,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,spring,3,gen phys 1,2017,fall,college trig,2017,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2018,spring,1,gen phys 1,2018,fall,calc 1,2018,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2019,spring,5,gen phys 1,2019,fall,calc 1,2019,spring,no,,,no,,,no,,,,,no,no,no,no,,
2019,spring,8,gen phys 1,2020,spring,college algebra,2019,spring,no,,,no,,,no,,,,,no,no,no,no,,
2015,summer,3,gen phys 1,2015,summer,none,,,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2009,fall,12,gen phys 2,2009,fall,probability-statistics engineers,2010,summer,no,,,yes,2011,spring,yes,2012,spring,2014,spring,N/A,N/A,N/A,no,,
2015,spring,4,gen phys 2,2015,fall,calc 2,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,fall,2,gen phys 2,2016,spring,calc 3,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,5,gen phys 2,2017,fall,calc 2,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,1,gen phys 2,2017,fall,LA/DE,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2019,fall,2,gen phys 2,2019,fall,calc 3,2019,fall,no,,,no,,,no,,,,,no,no,no,no,,
2017,fall,3,gen phys 2,2017,fall,calc 3,2017,fall,no,,,no,,,no,,,,,no,no,no,no,,
2022,summer,1,gen phys 2,2019,fall,calc 2 ,2018,spring,no,,,no,,,no,,,,,no,yes,no,no,,
2020,spring,2,gen phys 2,2020,spring,intro stats,2018,spring,no,,,no,,,no,,,,,no,no,no,no,,
2014,spring,9,intro lab 1,2007,spring,LA/DE,2014,spring,no,,,no,,,yes,2015,fall,2017,spring,N/A,N/A,N/A,no,2011,spring
2015,summer,4,intro lab 1,2015,summer,none,,,yes,2015,fall,yes,2016,spring,no,,,,,N/A,N/A,N/A,no,,
2014,fall,3,intro lab 1,2015,fall,calc 1,2014,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2022,spring,2,intro lab 1,2022,summer,calc 1,2022,spring,no,,,no,,,no,,,,,no,no,no,no,,
2023,spring,2,intro lab 1,2022,fall,calc 2,2023,summer,no,,,no,,,no,,,,,no,no,no,no,,
2017,fall,6,math methods,2017,fall,LA/DE,2017,fall,yes,2018,fall,yes ,2019,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,no,,
2019,fall,6,modern physics,2019,fall,LA/DE,2019,fall,yes,2020,fall,yes,2021,spring,yes,2020,fall,2021,spring,no,no,yes,no,,
2015,summer,5,modern physics,2015,fall,none,,,yes,2016,fall,no,,,yes,2016,spring,2016,fall,N/A,N/A,N/A,no,,
2018,fall,1,modern physics,2018,fall,calc 3,2018,summer,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,spring,1,none,,,college trig,2017,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2018,fall
2015,summer,5,none,,,college algebra,2015,summer,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2019,spring
2016,fall,4,none,,,college trig,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2020,fall
2016,fall,0,none,,,calc 2,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,2020,spring
2016,summer,1,none,,,pre calc,2016,summer,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2015,fall,3,none,,,college trig,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,1,none,,,calc 1,2016,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,2,none,,,pre calc,2017,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2018,fall,2,none,,,college trig,2018,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,12,none,,,college trig,2018,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2019,fall,2,none,,,calc 1,2019,fall,no,,,no,,,no,,,,,no,no,no,no,,
2019,fall,2,none,,,pre calc,2019,fall,no,,,no,,,no,,,,,no,no,no,no,,
2020,fall,2,none,,,pre calc,2020,fall,no,,,no,,,no,,,,,no,no,no,no,,
2021,fall,1,none,,,calc 1,2021,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2021,fall,2,none,,,calc 2,2021,fall,no,,,no,,,no,,,,,no,no,no,no,,
2023,spring,1,none,,,pre calc,2022,fall,no,,,no,,,no,,,,,no,no,no,no,,
2007,spring,1,none,,,calc 2,2007,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2013,spring,1,none,,,college trig,2013,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2013,spring,3,none,,,pre calc,2013,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,spring,4,none,,,college trig,2014,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2016,spring,1,none,,,college algebra,2016,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2014,fall,3,none,,,college algebra for business,2016,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,spring,1,none,,,calc 2,2017,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2017,fall,2,none,,,college trig,2018,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2018,summer,1,none,,,pre calc,2019,spring,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2022,spring,1,none,,,calc 1,2022,spring,no,,,no,,,no,,,,,no,no,no,no,,
2012,fall,1,none,,,none,,,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2021,fall,1,none,,,none,,,no,,,no,,,no,,,,,no,no,no,no,,
2017,fall,1,none,,,none,,,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2022,spring,1,none,,,none,,,no,,,no,,,no,,,,,no,no,no,no,,
2020,summer,1,none,,,none,,,no,,,no,,,no,,,,,no,no,no,no,,
2020,summer,3,none,,,finite math,2020,summer,no,,,no,,,no,,,,,no,no,no,no,,
2012,spring,2,vibes and waves,2011,fall,none,,,no,,,no,,,no,,,,,N/A,N/A,N/A,no,,
2020,fall,4,adv lab 1,2020,fall,numerical analysis 1,2016,spring,yes,2021,fall,yes,2022,spring,yes,2020,fall,2021,spring,no,no,no,yes,2022,spring
2020,fall,4,analytical mechanics,2020,fall,calc 3,2020,fall,yes,2020,fall,yes,2022,spring,yes,2020,fall,2021,spring,no,no,no,yes,2022,spring
2021,spring,4,analytical mechanics,2021,fall,linear algebra,2021,spring,yes,2021,fall,yes,2022,spring,yes,2021,,2022,spring,no,no,no,yes,2022,spring
2012,spring,7,college phys 1,2011,spring,college algebra,2010,fall,no,,,yes,2013,spring,yes,2013,fall,2014,spring,N/A,N/A,N/A,yes,2015,spring
2014,fall,10,college phys 1,2012,fall,pre calc,2015,spring,yes,2017,fall,yes ,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,yes,2018,fall
2013,fall,1,gen phys 1,2011,fall,calc 1,2010,spring,no,,,no,,,yes,2013,fall,,,N/A,N/A,N/A,yes,2013,fall
2011,spring,9,gen phys 1,2010,fall,college trig,2009,fall,yes,2011,fall,yes,2012,spring,yes ,2012,spring,2012,fall,N/A,N/A,N/A,yes,2013,fall
2012,spring,6,gen phys 1,2011,spring,calc 1,2009,fall,yes,2013,fall,yes,2013,fall spring 2013,yes,2012,fall,2013,spring,N/A,N/A,N/A,yes,2014,fall
2010,spring,11,gen phys 1,2011,fall,college algebra,2010,fall,yes,2013,fall,yes,2014,spring,yes,2013,spring,2013,fall,N/A,N/A,N/A,yes,2014,fall
2011,fall,8,gen phys 1,2010,fall,calc 1,2010,fall,no,,,yes,2014,spring,yes,2012,spring,2012,fall,N/A,N/A,N/A,yes,2014,spring
2010,spring,5,gen phys 1,2010,spring,calc 2,2010,spring,no,,,yes,2014,spring,yes,2013,fall,2014,spring,N/A,N/A,N/A,yes,2015,spring
2014,spring,4,gen phys 1,2012,spring,intro stats,2012,spring,no,,,yes,2014,spring,yes,2014,spring,2014,fall,N/A,N/A,N/A,yes,2015,spring
2015,spring,5,gen phys 1,2015,spring,calc 2,2014,spring,yes,2016,fall,yes,2016,spring,yes ,2015,fall,2016,spring,N/A,N/A,N/A,yes,2016,fall
2011,summer,11,gen phys 1,2010,spring,college trig,2008,spring,yes,2012,fall,yes,2013,spring,yes,2012,fall,2014,spring,N/A,N/A,N/A,yes,2016,spring
2013,spring,7,gen phys 1,2013,spring,calc 1,2011,fall,yes,2015,fall,yes,2016,spring,yes ,2014,fall,,,N/A,N/A,N/A,yes,2016,spring
2013,fall,8,gen phys 1,2013,fall,calc 1,2013,fall,yes,2015,fall,yes,2016,spring,yes,2014,fall,2015,spring,N/A,N/A,N/A,yes,2016,spring
2014,spring,10,gen phys 1,2014,spring,calc 2,2014,spring,yes,2015,fall,yes,2016,spring,yes,,,2016,spring,N/A,N/A,N/A,yes,2017,spring
2014,fall,6,gen phys 1,2014,fall,calc 2,2014,fall,yes,2015,fall,yes,2016,spring,yes ,2016,spring,2016,fall,N/A,N/A,N/A,yes,2017,spring
2015,fall,9,gen phys 1,2015,fall,calc 2,2016,spring,yes,2017,fall,yes,2018,spring,yes ,2017,fall,2018,spring,N/A,N/A,N/A,yes,2018,fall
2011,spring,11,gen phys 1,2010,summer,calc 2,2010,fall,yes,2016,fall,yes,2016,spring,yes,2011,fall,2012,spring,N/A,N/A,N/A,yes,2018,spring
2015,fall,7,gen phys 1,2015,fall,calc 1,2015,fall,yes,2017,fall,yes,2017,spring,yes,2017,spring,2017,fall,N/A,N/A,N/A,yes,2018,spring
2016,fall,9,gen phys 1,2015,fall,calc 1,2015,fall,yes,2017,fall,yes,2018,spring,yes,2017,fall,2019,fall,N/A,N/A,N/A,yes,2019,fall
2016,spring,11,gen phys 1,2019,fall,pre calc,2016,spring,yes,2018,fall,yes ,2019,spring,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2019,fall
2013,fall,14,gen phys 1,2013,fall,calc 1,2013,fall,yes,2016,fall,yes,2017,spring,yes,2016,fall,2017,spring,N/A,N/A,N/A,yes,2019,spring
2016,fall,7,gen phys 1,2016,fall,probability-statistics engineers,2018,spring,yes,2017,fall,yes,2018,spring,yes,2017,fall,2018,fall,N/A,N/A,N/A,yes,2019,spring
2015,fall,9,gen phys 1,2016,spring,calc 1,2015,fall,yes,2017,fall,yes,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,yes,2019,spring
2015,fall,8,gen phys 1,2016,spring,pre calc,2015,fall,yes,2018,fall,yes,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,yes,2019,spring
2015,fall,10,gen phys 1,2015,fall,calc 3,2015,fall,yes,2017,fall,yes,2017,spring,yes,2017,spring,2017,fall,N/A,N/A,N/A,yes,2019,spring
2017,summer,8,gen phys 1,2017,spring,math for liberal arts,2014,fall,yes ,2019,fall,yes ,2020,spring,yes,2019,spring,2019,fall,N/A,N/A,no,yes,2020,fall
2017,fall,9,gen phys 1,2018,spring,pre calc,2017,fall,yes,2019,fall,yes,2020,spring,yes ,2019,spring,2019,fall,no,no,no,yes,2020,fall
2015,spring,12,gen phys 1,2015,fall,pre calc,2015,spring,yes,2018,fall,yes,2019,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,spring
2017,fall,6,gen phys 1,2017,fall,calc 3,2017,fall,yes,2019,fall,yes,2020,spring,yes ,2019,spring,2019,fall,no,no,no,yes,2020,spring
2018,fall,6,gen phys 1,2018,fall,calc 2,2018,fall,yes,2020,fall,yes,2020,spring,yes,2020,spring,2020,fall,N/A,N/A,N/A,yes,2021,spring
2017,summer,11,gen phys 1,2018,spring,pre calc,2017,summer,no,,,yes,2021,spring,yes,2020,spring,2020,fall,n,n,n,yes,2021,summer
2018,spring,12,gen phys 1,2019,spring,college trig,2018,spring,yes,2021,fall,yes,2022,spring,yes,2020,fall,2022,spring,no,yes,yes ,yes,2022,fall
2019,fall,1,gen phys 1,2018,spring,calc 3,2016,fall,yes,2019,fall,yes,2020,spring,yes,2019,fall,2020,spring,N/A,N/A,N/A,yes,2022,spring
2020,spring,7,gen phys 1,2020,spring,calc 2,2020,spring,yes,2021,fall,yes ,2022,spring,yes,2021,fall,2022,spring,no,yes,yes,yes,2023,spring
2015,spring,11,gen phys 1 ,2015,summer,calc 1,2015,spring,yes,2018,fall,yes,2019,spring,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2019,spring
2012,fall,4,gen phys 2,2011,spring,calc 2,2011,spring,yes,2012,fall,yes,2013,spring,yes,2012,fall,2013,spring,N/A,N/A,N/A,yes,2014,spring
2014,fall,8,gen phys 2,2014,fall,calc 3,2014,fall,yes,2016,fall,yes,2017,spring,yes,2016,spring,2017,spring,N/A,N/A,N/A,yes,2018,spring
2016,fall,7,gen phys 2,2016,fall,linear algebra,2016,fall,yes,2017,fall,yes,2018,spring,yes,2017,fall,2019,spring,N/A,N/A,N/A,yes,2019,spring
2017,fall,8,gen phys 2,2017,fall,calc 2,2017,fall,yes,2019,fall,yes,2020,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,fall
2017,fall,7,gen phys 2,2017,fall,calc 3,2017,fall,yes,2018,fall,yes,2019,spring,yes ,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,spring
2014,spring,7,modern physics,2014,spring,intro stats,2012,spring,yes,2015,fall,yes,2015,spring,yes,2014,fall,2015,spring,N/A,N/A,N/A,yes,2016,spring
2016,summer,9,modern physics,2015,fall,calc 2,2015,summer,yes,2016,fall,yes,2017,spring,yes,2016,fall,2017,spring,N/A,N/A,N/A,yes,2019,spring
2016,fall,6,modern physics,2016,fall,LA/DE,2017,spring,yes,2017,fall,yes,2018,spring,yes,2017,spring,2017,fall,N/A,N/A,N/A,yes,2019,spring
2019,spring,8,modern physics,2019,spring,LA/DE,2019,spring,yes,2020,fall,yes,2021,spring,yes,2020,spring,2020,fall,no,no,no,yes,2021,summer
2017,fall,6,modern physics,2017,fall,LA/DE,2017,fall,yes,2018,fall,no,,,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2023,spring
2012,fall,9,thermal physics,2012,spring,LA/DE,2012,spring,yes,2013,fall,yes,2013,spring,yes,2013,spring,2013,fall,N/A,N/A,N/A,yes,2015,fall
2014,spring,7,vibes and waves,2014,spring,calc 3,2014,spring,yes,2014,fall,yes,2015,spring,yes,2014,spring,2015,fall,N/A,N/A,N/A,yes,2016,spring
2016,spring,4,vibes and waves,2015,fall,linear algebra,2016,spring,yes ,2016,fall,yes,2017,spring,yes,2016,spring,2016,fall,N/A,N/A,N/A,yes,2017,fall
2017,fall,5,vibes and waves,2017,fall,college algebra,2011,spring,yes,2018,fall,yes,2018,spring,yes,2017,fall,2018,spring,N/A,N/A,N/A,yes,2019,fall
2017,fall,8,vibes and waves,2017,fall,LA/DE,2017,fall,yes,2019,fall,yes,2020,spring,yes,2018,fall,2019,spring,N/A,N/A,N/A,yes,2020,fall
2017,fall,6,vibes and waves,2071,fall,differential equations,2017,fall,yes,2018,fall,yes,2019,spring,yes,2018,spring,2018,fall,N/A,N/A,N/A,yes,2020,spring
2015,fall,4,gen astro 1,2015,fall,pre calc,2015,fall,no,,,no,,,no,,,,,N/A,N/A,N/A,,,
2017,fall,,gen phys 1,2001,fall,calc 1,2017,fall,yes,2002,fall,yes ,2004,spring,yes,2003,fall,2004,spring,N/A,N/A,N/A,,,
2016,fall,6,gen phys 1,2016,fall,calc 2,2016,fall,no,,,no,,,no,,,,,yes,no,no,,,
2019,fall,5,modern physics,2019,fall,calc 3,2019,fall,yes,2022,fall,no,,,yes,2022,fall,2023,spring,n,n,n,,,
2015,fall,1,none,,,college trig,2015,fall,n,,,n,,,n,,,,,n,n,n,,,
